season,date,team1,team2,average_age,points_last_season,points_this_season,rank_last_season,squad,total_market_value_in_euro,result_team1
2019,2019-12-17,1. FC Union Berlin,TSG Hoffenheim,0.4767441860465117,0.49458661417322836,0.4915254237288136,0.8,0.4166666666666667,0.3578397606007566,0
2019,2019-12-17,Borussia Dortmund,RB Leipzig,0.6744186046511628,0.5246062992125984,0.4915254237288136,0.475,0.4722222222222222,0.5729094912766077,1
2019,2019-12-17,FC Augsburg,Fortuna Düsseldorf,0.40697674418604646,0.5137795275590551,0.6186440677966102,0.625,0.5,0.5210151883010559,2
2019,2019-12-17,Werder Bremen,Mainz,0.755813953488372,0.5246062992125984,0.4915254237288136,0.4,0.5277777777777778,0.5278922703404664,0
2019,2019-12-18,Eintracht Frankfurt,FC Cologne,0.6279069767441858,0.5462598425196851,0.559322033898305,0.2,0.5,0.5734854045508441,0
2019,2019-12-18,SC Freiburg,Bayern Munich,0.744186046511628,0.49901574803149606,0.4830508474576271,0.8,0.2777777777777778,0.0536389814239738,0
2019,2019-12-18,VfL Wolfsburg,Schalke 04,0.5581395348837209,0.530511811023622,0.4830508474576271,0.3,0.6388888888888888,0.5127717237874767,1
2019,2019-12-18,Bayer Leverkusen,Hertha Berlin,0.6046511627906975,0.5270669291338582,0.5847457627118644,0.325,0.1388888888888889,0.5879679295353171,0
2019,2019-12-18,Borussia Monchengladbach,SC Paderborn,0.5581395348837209,0.546751968503937,0.7372881355932204,0.125,0.5555555555555556,0.6325560386200666,2
2019,2019-12-20,TSG Hoffenheim,Borussia Dortmund,0.7209302325581394,0.508105604446503,0.5,0.675,0.5,0.27471627801931003,2
2019,2019-12-21,Mainz,Bayer Leverkusen,0.36046511627906985,0.5127373784159334,0.4406779661016949,0.7,0.6666666666666666,0.33715205239681556,0
2019,2019-12-21,Schalke 04,SC Freiburg,0.3139534883720929,0.5182955071792497,0.559322033898305,0.525,0.5833333333333334,0.5522556603240923,1
2019,2019-12-21,Hertha Berlin,Borussia Monchengladbach,0.3139534883720933,0.5141269106067624,0.3898305084745763,0.65,0.7222222222222222,0.5136638247416859,1
2019,2019-12-21,RB Leipzig,FC Augsburg,0.22093023255813973,0.5354330708661418,0.6440677966101694,0.2,0.5277777777777778,0.7419118062221218,2
2019,2019-12-21,Bayern Munich,VfL Wolfsburg,0.38372093023255816,0.5303381194997685,0.6016949152542372,0.375,0.5,0.8813336344644571,2
2019,2019-12-21,FC Cologne,Werder Bremen,0.39534883720930253,0.4951366373320982,0.5508474576271186,0.775,0.4722222222222222,0.4520185195641127,2
2019,2019-12-22,SC Paderborn,Eintracht Frankfurt,0.38372093023255816,0.49467345993515516,0.4745762711864407,0.825,0.4166666666666667,0.37526396025069164,2
2019,2019-12-22,Fortuna Düsseldorf,1. FC Union Berlin,0.5,0.540064844835572,0.4830508474576271,0.225,0.5833333333333334,0.531607475580148,2
2019,2020-01-17,Schalke 04,Borussia Monchengladbach,0.30232558139534893,0.5100612423447068,0.5084745762711864,0.725,0.4722222222222222,0.4733386031279995,2
2019,2020-01-18,RB Leipzig,1. FC Union Berlin,0.1279069767441862,0.5485564304461943,0.6949152542372882,0.05,0.6111111111111112,0.7945344701033256,2
2019,2020-01-18,TSG Hoffenheim,Eintracht Frankfurt,0.5,0.5183727034120734,0.576271186440678,0.55,0.5555555555555556,0.5253684151092541,0
2019,2020-01-18,Mainz,SC Freiburg,0.2906976744186046,0.5227471566054243,0.4322033898305085,0.475,0.6388888888888888,0.5177008638699113,0
2019,2020-01-18,FC Cologne,VfL Wolfsburg,0.5697674418604652,0.49562554680664916,0.4915254237288136,0.825,0.4166666666666667,0.43258426966292135,2
2019,2020-01-18,Fortuna Düsseldorf,Werder Bremen,0.5,0.515748031496063,0.5084745762711864,0.55,0.5277777777777778,0.44031957540511546,0
2019,2020-01-18,FC Augsburg,Borussia Dortmund,0.6046511627906975,0.5004374453193351,0.4406779661016949,0.825,0.5,0.1851787025012704,0
2019,2020-01-19,Hertha Berlin,Bayern Munich,0.5697674418604652,0.5043744531933508,0.3813559322033898,0.75,0.6111111111111112,0.14621986336175258,0
2019,2020-01-19,SC Paderborn,Bayer Leverkusen,0.5232558139534883,0.49431321084864394,0.3644067796610169,0.9,0.5833333333333334,0.2658122071029304,0
2019,2020-01-24,Borussia Dortmund,FC Cologne,0.40697674418604646,0.5511811023622047,0.6610169491525424,0.075,0.5555555555555556,0.8241375416407882,2
2019,2020-01-25,Borussia Monchengladbach,Mainz,0.7209302325581394,0.5246581019477828,0.6949152542372882,0.325,0.4722222222222222,0.5612161933261814,2
2019,2020-01-25,1. FC Union Berlin,FC Augsburg,0.5930232558139535,0.5064235391628678,0.5254237288135594,0.65,0.4166666666666667,0.4473773361187962,2
2019,2020-01-25,SC Freiburg,SC Paderborn,0.5465116279069769,0.534604227103191,0.6440677966101694,0.325,0.4444444444444444,0.5536389814239738,0
2019,2020-01-25,Eintracht Frankfurt,RB Leipzig,0.8953488372093021,0.5147119767923746,0.3898305084745763,0.6,0.4166666666666667,0.3222573541866637,2
2019,2020-01-25,Bayern Munich,Schalke 04,0.4418604651162791,0.5383340240364691,0.576271186440678,0.175,0.6388888888888888,0.8941053582519338,2
2019,2020-01-25,VfL Wolfsburg,Hertha Berlin,0.5465116279069766,0.5246581019477828,0.5423728813559322,0.375,0.3888888888888889,0.4724465021737903,0
2019,2020-01-26,Werder Bremen,TSG Hoffenheim,0.4767441860465117,0.5205138831330295,0.4152542372881356,0.475,0.4722222222222222,0.4491276607757891,0
2019,2020-01-26,Bayer Leverkusen,Fortuna Düsseldorf,0.38372093023255816,0.5254869457107336,0.6864406779661016,0.35,0.2777777777777778,0.6946361018576026,2
2019,2020-01-31,Hertha Berlin,Schalke 04,0.5116279069767443,0.5236220472440944,0.4322033898305085,0.425,0.75,0.5403252216136865,1
2019,2020-02-01,Mainz,Bayern Munich,0.5348837209302326,0.5059055118110236,0.3220338983050847,0.775,0.4166666666666667,0.07133984529388515,0
2019,2020-02-01,FC Augsburg,Werder Bremen,0.40697674418604646,0.5114173228346457,0.6016949152542372,0.675,0.5277777777777778,0.4613347637061713,2
2019,2020-02-01,Fortuna Düsseldorf,Eintracht Frankfurt,0.4767441860465117,0.515748031496063,0.4491525423728814,0.575,0.5555555555555556,0.4148156512901587,1
2019,2020-02-01,RB Leipzig,Borussia Monchengladbach,0.16279069767441884,0.5240157480314961,0.5423728813559322,0.45,0.6111111111111112,0.6699226469425781,1
2019,2020-02-01,TSG Hoffenheim,Bayer Leverkusen,0.6395348837209301,0.5169291338582678,0.5169491525423728,0.625,0.7222222222222222,0.41591666196149285,2
2019,2020-02-01,Borussia Dortmund,1. FC Union Berlin,0.30232558139534893,0.5496062992125984,0.6610169491525424,0.025,0.5833333333333334,0.8674439613799334,2
2019,2020-02-02,FC Cologne,SC Freiburg,0.4418604651162791,0.5055118110236221,0.4745762711864407,0.65,0.6388888888888888,0.4976116537744904,2
2019,2020-02-02,SC Paderborn,VfL Wolfsburg,0.5813953488372092,0.49803149606299213,0.423728813559322,0.85,0.3333333333333333,0.3813336344644571,0
2019,2020-02-07,Eintracht Frankfurt,FC Augsburg,0.6162790697674418,0.5279340082489689,0.5423728813559322,0.3,0.4444444444444444,0.5641691604087855,2
2019,2020-02-08,SC Freiburg,TSG Hoffenheim,0.43023255813953515,0.5140607424071991,0.5169491525423728,0.6,0.3055555555555556,0.40353452656541133,2
2019,2020-02-08,Werder Bremen,1. FC Union Berlin,0.5,0.5395575553055868,0.4491525423728814,0.175,0.5555555555555556,0.5912879001750324,0
2019,2020-02-08,Schalke 04,SC Paderborn,0.36046511627906985,0.532058492688414,0.6864406779661016,0.35,0.5277777777777778,0.6058946417480662,1
2019,2020-02-08,Bayer Leverkusen,Borussia Dortmund,0.5813953488372092,0.5129358830146231,0.5084745762711864,0.55,0.2777777777777778,0.3587996160578172,2
2019,2020-02-08,VfL Wolfsburg,Fortuna Düsseldorf,0.32558139534883723,0.5238095238095237,0.6186440677966102,0.4,0.5277777777777778,0.5791146744960759,1
2019,2020-02-08,Hertha Berlin,Mainz,0.5348837209302326,0.5196850393700787,0.5423728813559322,0.475,0.6944444444444444,0.5748800180678675,0
2019,2020-02-09,Bayern Munich,RB Leipzig,0.5813953488372092,0.5241844769403824,0.5338983050847458,0.45,0.5,0.6975213144373553,1
2019,2020-02-14,Borussia Dortmund,Eintracht Frankfurt,0.2790697674418607,0.5275590551181102,0.6440677966101694,0.375,0.5555555555555556,0.750652137089944,2
2019,2020-02-15,TSG Hoffenheim,VfL Wolfsburg,0.6976744186046511,0.5182534001431639,0.5423728813559322,0.575,0.4722222222222222,0.5314380893230196,0
2019,2020-02-15,1. FC Union Berlin,Bayer Leverkusen,0.6162790697674418,0.4989262705798139,0.4067796610169492,0.925,0.6388888888888888,0.27375642256224947,0
2019,2020-02-15,FC Augsburg,SC Freiburg,0.453488372093023,0.5182534001431639,0.4745762711864407,0.55,0.6944444444444444,0.506927897916549,1
2019,2020-02-15,SC Paderborn,Hertha Berlin,0.6279069767441858,0.5042949176807444,0.4406779661016949,0.725,0.2222222222222222,0.3537801366382474,0
2019,2020-02-15,Fortuna Düsseldorf,Borussia Monchengladbach,0.5348837209302326,0.5148106486689163,0.3135593220338983,0.625,0.5833333333333334,0.4069956524194004,0
2019,2020-02-15,RB Leipzig,Werder Bremen,0.1279069767441862,0.5243378668575519,0.7627118644067796,0.375,0.5555555555555556,0.7032465699282932,2
2019,2020-02-16,FC Cologne,Bayern Munich,0.6860465116279071,0.4917680744452398,0.3305084745762712,0.95,0.4166666666666667,0.051250635198464234,0
2019,2020-02-16,Mainz,Schalke 04,0.4767441860465117,0.5232641374373658,0.4067796610169492,0.45,0.5555555555555556,0.465445203545819,1
2019,2020-02-21,Bayern Munich,SC Paderborn,0.30232558139534893,0.546388223211229,0.8050847457627118,0.025,0.6666666666666666,1.0,2
2019,2020-02-22,Werder Bremen,Borussia Dortmund,0.6976744186046511,0.5118110236220472,0.288135593220339,0.65,0.4722222222222222,0.2238439387950991,0
2019,2020-02-22,Schalke 04,RB Leipzig,0.6395348837209301,0.5083875385142075,0.423728813559322,0.775,0.3611111111111111,0.3034159561854215,0
2019,2020-02-22,Borussia Monchengladbach,TSG Hoffenheim,0.4418604651162791,0.5219103046901746,0.6016949152542372,0.4,0.4166666666666667,0.48245158376150415,1
2019,2020-02-22,SC Freiburg,Fortuna Düsseldorf,0.45348837209302345,0.516946251283807,0.635593220338983,0.575,0.3055555555555556,0.5140872903845068,0
2019,2020-02-22,Hertha Berlin,FC Cologne,0.38372093023255816,0.5344060253337898,0.5254237288135594,0.3,0.6944444444444444,0.5949692281632883,0
2019,2020-02-23,Bayer Leverkusen,FC Augsburg,0.4767441860465117,0.5285861006504622,0.6610169491525424,0.225,0.2777777777777778,0.6736209135565467,2
2019,2020-02-23,VfL Wolfsburg,Mainz,0.5813953488372092,0.5237932214994865,0.6271186440677966,0.35,0.5833333333333334,0.5473265202416577,2
2019,2020-02-24,Eintracht Frankfurt,1. FC Union Berlin,0.5232558139534883,0.5381718589524135,0.5169491525423728,0.15,0.5277777777777778,0.6167918242899892,0
2019,2020-02-28,Fortuna Düsseldorf,Hertha Berlin,0.7209302325581394,0.52001312335958,0.4745762711864407,0.475,0.3611111111111111,0.3933318276777144,1
2019,2020-02-29,FC Cologne,Schalke 04,0.6279069767441862,0.5088582677165354,0.4661016949152542,0.625,0.5555555555555556,0.44535599345039806,2
